ACE_resid,Freq_resid
-55.966125,-0.0029886712
-76.23404,-0.0055834125
-85.30493,-0.009656942
-72.38189,-0.009686984
-55.387726,-0.010411762
-49.06587,-0.010076657
-59.020237,-0.009930666
-115.40472,-0.018046843
-143.69867,-0.025185201
-150.08017,-0.027243935
-177.80629,-0.031941645
-176.58368,-0.031052103
-188.59175,-0.035248976
-170.8519,-0.033416394
-144.3959,-0.025382292
-150.85379,-0.025375245
-148.64514,-0.021367019
-166.78268,-0.027846128
-202.49004,-0.032879822
-155.65077,-0.025223415
-137.82684,-0.017510649
-150.74915,-0.020137632
-180.72359,-0.026372438
-202.18074,-0.031166373
-217.73871,-0.032497264
-209.76053,-0.031260774
-210.69467,-0.028104082
-237.51892,-0.034147754
-248.53706,-0.04193277
-249.29594,-0.03933908
-219.41658,-0.032675028
-198.07149,-0.034371454
-212.95319,-0.031238582
-204.84393,-0.030309122
-249.06258,-0.036918286
-234.99716,-0.03860111
-209.54478,-0.03448836
-229.06302,-0.03840382
-227.87334,-0.036357746
-209.98024,-0.036463697
-219.39069,-0.038227927
-199.15634,-0.03833942
-191.47751,-0.034616906
-197.77864,-0.034798093
-174.25375,-0.033874683
-205.84584,-0.040027566
-200.14001,-0.040534355
-199.65318,-0.039902292
-197.3956,-0.03852929
-210.44995,-0.040729277
-202.62723,-0.04055643
-191.2176,-0.038259357
-169.20854,-0.031196937
-198.3626,-0.03701522
-215.15828,-0.03749425
-174.87178,-0.033877164
-192.35097,-0.036917873
-165.66785,-0.034464873
-181.21286,-0.04093303
-212.03088,-0.042738914
-188.41223,-0.042058002
-193.13196,-0.040162526
-196.50719,-0.037438348
-196.6352,-0.039132617
-181.48117,-0.035185754
-177.4504,-0.035105065
-157.69914,-0.03351478
-151.4747,-0.026697094
-136.55135,-0.0228274
-120.04582,-0.020752227
-112.42989,-0.018748868
-86.95806,-0.021746555
-124.66107,-0.021008376
-116.01497,-0.023820939
-145.73639,-0.025912482
-164.2368,-0.028169643
-159.95059,-0.028570123
-117.06302,-0.018850457
-67.52189,-0.012471535
-79.79738,-0.0077621997
-48.811554,-0.0037842072
-30.261456,-0.0039628292
-16.311337,-0.002665761
-0.9529638,-0.0001250431
3.6823106,0.0028039815
7.6022096,0.00040452403
30.92248,0.0027500056
20.644842,-0.0017490145
-4.406773,-0.0054527055
-18.375668,-0.009560144
18.520285,-0.0061855135
9.034367,-0.00882227
-11.828732,-0.011263633
6.9638233,-0.012536685
