RT_price_resid,DA_price_resid,load_resid
-16.437115,-5.4101124,-17.378462
-26.725784,-5.300533,-64.241745
-24.312544,-8.115583,-67.72729
-16.555153,-5.4113245,-42.426315
-16.19803,-11.478956,-50.02138
-4.3754597,-13.274569,-18.80437
-9.186547,-16.568844,-30.194412
-10.018583,-14.936497,-72.344345
88.540054,-19.064598,-59.518547
20.379139,-15.39933,-68.21003
12.743303,-12.753049,-58.650513
27.682983,-11.342415,-97.66279
-1.2292476,-1.894064,-69.0077
3.8657703,-2.4891562,-23.679714
-5.209585,-5.7512116,-49.86178
-15.429323,-6.2103043,-54.16505
-10.579672,-13.370039,-92.00581
-29.586565,-21.414333,-106.41589
-5.409935,-24.405262,-194.15073
-17.900452,-23.001564,-129.1843
-16.336325,-44.096306,-109.214935
-23.774479,-37.1322,-96.53022
-28.00442,-36.075096,-106.01065
-13.946489,-30.69128,-41.913803
-6.6274633,-25.921263,-57.515392
-9.846071,-25.952585,-72.73972
2.089611,-23.040281,-34.68991
-11.404984,-22.048712,-133.76724
-8.937279,-15.946907,-45.70602
-8.660831,-14.781136,-31.638756
-2.7712784,-14.688449,-88.96125
-6.0341997,-24.236778,-44.97478
-23.42457,-7.4645414,8.806713
-10.539028,-4.0806136,31.370277
-9.349035,-4.51225,86.005165
36.326485,-4.9034605,91.306305
8.210221,-2.2195845,120.92462
7.592248,2.5018396,33.870224
-6.8119125,4.6479,56.053535
-2.619885,10.398479,147.19772
2.8477921,7.240629,75.57037
-2.1763349,1.299499,57.537994
-6.31793,9.362837,96.90727
-5.2941647,4.1477056,148.92886
-15.631115,-13.618079,131.10797
4.1554785,-3.0932064,115.17
9.452163,-12.972806,165.17786
9.911865,-15.965497,100.252426
3.3647408,-19.483604,57.959244
14.885557,-10.047887,89.761185
-0.8816371,-13.698473,67.52296
6.323491,-10.807375,14.156776
11.394143,2.0258503,73.54407
16.84431,-1.0546632,116.761185
34.708294,0.14937115,90.814804
36.83498,2.6527138,61.133324
23.582123,6.0247784,63.801506
26.028597,4.3141956,40.744278
26.714132,-0.34043026,12.071228
21.181013,-8.534952,-44.939686
22.89858,-6.4222455,7.9381294
-0.7484288,-7.926708,-20.777157
1.7992468,-2.3634562,-12.376755
-1.0707192,-9.759056,-14.450184
17.434399,-8.136971,-40.742355
5.499611,-7.99625,-53.393826
-7.018315,-14.490309,-39.26384
2.871746,-9.985506,-77.96593
-7.652084,2.5724468,-116.92345
10.35718,-2.7588444,-133.07397
4.986487,-7.06024,-82.65642
-16.20061,2.4325962,-4.814003
4.690896,3.665388,28.914072
7.4376516,4.655184,45.4896
7.0456057,9.880162,34.507843
