rt_true,da_true,load_true,rt_pred,da_pred,load_pred
48.73,78.38,3549.8579,40.6949,32.7376,2844.022
49.09,78.38,3541.207,40.0745,34.3338,2851.4435
49.14,78.38,3581.9883,45.8478,32.2394,2842.7598
50.69,78.38,3579.2686,45.4395,36.2963,2854.476
54.66,78.38,3605.8037,42.0964,42.8863,2896.0076
54.65,78.38,3650.2729,40.7357,41.9902,2938.9041
55.09,78.38,3652.542,43.3649,43.1962,2991.4165
101.34,78.38,3667.147,45.3072,43.5451,3027.6869
24.54,79.51,3716.4629,46.4372,45.9913,3076.2974
64.84,79.51,3712.6812,46.2563,42.5267,3112.337
75.87,79.51,3752.2207,47.2379,43.8053,3123.8536
75.97,79.51,3744.0706,48.9558,43.4178,3114.9074
49.88,79.51,3775.502,48.5367,54.2556,3168.0358
75.66,79.51,3776.3765,49.0714,52.3061,3210.3263
75.99,79.51,3788.3721,46.292,54.3172,3142.8606
76.07,79.51,3831.0579,49.8198,43.6895,3171.2065
50.23,79.51,3850.9331,41.9335,60.0433,3254.7441
75.98,79.51,3858.21,47.4219,60.3824,3224.4465
75.97,79.51,3900.5059,41.1544,66.9453,3304.2627
75.95,79.51,3891.5723,51.4317,65.9453,3364.2986
76.21,86.54,3933.6462,51.0779,64.1252,3314.7884
77.19,86.54,3947.4136,51.8154,59.799,3352.2698
76.27,86.54,3965.2534,50.9209,64.4707,3421.9771
77.28,86.54,3979.8608,49.5954,68.7358,3361.3076
76.81,86.54,3983.7993,46.7075,72.9872,3381.5743
77.07,86.54,4024.1494,51.0451,65.8024,3361.1948
77.33,86.54,4070.2612,48.2454,64.4135,3326.6212
76.86,86.54,4105.8877,50.6006,63.8568,3334.6803
77.11,86.54,4125.98,47.9609,85.162,3404.4561
77.66,86.54,4117.6016,49.1912,87.7466,3500.827
78.52,86.54,4163.4521,52.0227,86.0252,3560.4358
78.42,86.54,4164.0127,57.3786,83.2457,3619.1518
78.03,109.88,4179.1387,52.8664,84.1299,3700.7729
78.6,109.88,4209.0879,56.1782,83.4132,3713.7658
78.48,109.88,4239.0732,54.8628,83.122,3790.9149
79.46,109.88,4260.6782,52.5321,76.9946,3762.6115
