rt_true,da_true,load_true,rt_pred,da_pred,load_pred
35.83,43.73,3863.3857,18.2035,32.5998,3589.463
35.77,43.73,3836.4346,8.8762,24.2502,3587.8449
35.29,43.73,3811.0808,5.6717,9.4899,3681.6544
34.91,43.73,3807.2017,10.5603,5.9551,3708.7857
34.36,43.73,3762.3027,0.763,10.5756,3688.6031
33.88,43.73,3746.9854,2.4915,19.6237,3684.1668
36.87,43.73,3720.4746,26.8196,22.6977,3706.2994
33.77,43.73,3716.584,27.3749,31.5541,3613.2023
33.78,43.73,3699.2234,35.3429,20.9562,3584.3982
33.97,43.73,3681.4607,29.6235,17.353,3563.7749
40.35,40.33,3680.6943,21.4859,8.2452,3595.2507
36.11,40.33,3645.2812,23.5958,3.9965,3618.4008
35.62,40.33,3599.7773,33.8163,12.0863,3592.869
35.35,40.33,3552.677,27.1535,9.382,3577.4057
36.06,40.33,3547.4893,42.9766,12.9727,3531.5606
34.54,40.33,3514.8486,36.9461,11.6131,3501.1852
34.55,40.33,3522.9932,34.0491,20.4068,3426.5044
34.2,40.33,3483.0637,41.5886,26.1855,3356.9597
33.83,40.33,3474.4163,28.7879,23.6726,3313.0125
34.56,40.33,3422.2483,34.5342,23.1887,3330.8095
33.6,40.33,3425.1895,24.7743,20.2786,3314.447
31.05,40.33,3408.9192,25.4121,5.5793,3350.3114
31.11,54.96,3399.7153,17.7321,10.181,3371.6096
32.83,54.96,3358.9746,25.3429,15.4329,3361.9693
32.72,54.96,3333.4175,18.8562,27.1608,3315.756
25.04,54.96,3322.6846,25.9102,16.7999,3255.6374
32.8,54.96,3294.1057,16.1264,23.078,3177.5577
36.15,54.96,3265.1624,21.9618,18.1794,3144.7912
29.88,54.96,3251.4841,22.3368,22.6528,3124.8516
29.79,54.96,3230.2683,20.3611,24.3717,3173.9426
30.93,54.96,3191.0164,27.0484,31.7277,3116.6278
31.67,54.96,3167.3311,26.5901,30.5121,3134.1027
36.07,54.96,3131.7573,28.3722,34.5651,3073.1851
40.79,54.96,3119.1406,29.1411,36.1452,3053.5386
36.79,40.3,3087.6011,27.7324,36.1112,3115.6809
