RT_price_resid,DA_price_resid,load_resid
-2.0366173,0.55025864,3.9814453
1.3511124,1.2819138,13.112061
-9.556948,0.5882797,37.659424
-10.414974,-0.062057495,-4.2595215
-6.3540344,-0.47600937,14.797363
-8.810232,-0.6502342,-22.141357
-8.90575,-0.9500351,-62.125
-9.744068,-1.0387039,-12.074707
-12.925743,-1.9697418,-45.931885
-13.41143,-1.5761185,-41.40796
-10.157555,-2.001423,-66.17847
-12.070169,-1.8806305,-79.9397
-12.074711,-2.5349655,-115.33765
-12.8364525,-2.4852371,-82.262695
-10.37063,-2.9128494,-141.10352
-8.548107,-1.3419762,-77.65332
-3.3796024,-0.913208,-48.38794
-6.716051,1.8678665,-34.550293
-7.6618214,3.3424492,40.734375
-11.62414,2.1318512,-21.923828
-8.305592,2.709587,-9.86084
-10.954399,1.1254807,-28.35962
-9.338272,1.328579,-12.45752
-4.8622017,2.2171745,23.476562
-10.062105,2.2369728,35.69287
-6.2589836,1.4404945,10.68335
-15.420607,0.9027443,60.582764
-5.7998447,0.6196785,24.531494
-8.451195,-0.33013535,29.265137
-11.774195,-2.8848686,19.721191
-12.817738,-3.0338783,-6.376465
-9.060579,-1.8561134,41.94043
-9.440187,-2.2005005,48.740967
-8.422405,-1.6905327,19.168213
-0.43133926,-1.4455032,22.393555
-13.674992,-1.5381737,50.901855
-9.563587,-1.4391327,42.145996
-14.496223,-1.7496948,49.50659
39.697052,-2.1118202,9.866699
-6.047867,-1.0932617,74.3042
-4.4481773,-1.6191902,12.566162
-3.4857368,4.9041595,20.39624
-7.9998474,5.5649986,56.808594
-7.79233,4.2755623,15.718018
-8.923264,4.91074,27.369873
-13.020901,4.423317,79.751465
-10.328777,4.3722534,68.8584
-11.329437,3.9864655,28.422363
-11.758665,4.1597633,84.708984
-11.74884,3.3716354,5.4833984
-22.353024,1.556591,8.126709
-12.132458,0.73719025,-18.790527
-13.530624,2.3698692,46.60669
-13.654837,17.129818,59.555664
-14.646458,16.116394,18.787842
-10.575317,16.767807,64.43921
-13.409943,16.086842,59.65039
-15.73698,16.165718,10.967285
-12.798618,15.574135,5.3217773
-14.084511,16.203136,40.658203
-11.832081,14.888195,0.5527344
-11.095318,17.492378,69.069824
-15.181225,15.447063,43.888428
-11.682232,15.689144,48.558838
-7.1181793,16.346188,77.15845
-13.417606,50.189453,8.006348
-8.511929,51.2406,39.209473
-19.149902,49.052704,8.416504
-15.852325,50.1532,-1.7653809
-16.828957,49.986526,-7.946533
-24.426334,50.51007,1.213623
-17.969765,50.428947,16.43335
-27.519543,49.561172,-39.66748
-19.382252,49.584206,-61.26416
-31.063793,50.523087,-31.284424
-29.21437,50.755966,-28.361084
-24.869175,50.28987,-36.445312
-16.035973,5.8797455,-144.73584
